model_number,model,mean_mae_train,sd_mae_train,mean_mae_val,sd_mae_val,mean_rmse_train,sd_rmse_train,mean_rmse_val,sd_rmse_val,mae_test,rmse_test
37,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.888573898587908,0.2963995621347556,4.327156845160893,1.5170580853815676,5.431903214114053,0.4513542596973877,5.912435499259404,2.093846171079774,4.571741104125977,6.2533860206604
1,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.8791167395455495,0.3138366140151688,4.378683112348829,1.6104492436317377,5.42401327746255,0.4732739894404391,5.954857407297407,2.1902488911354387,4.677744388580322,6.4093194007873535
21,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.87890921660832,0.3139012111782992,4.378449431487492,1.610010370272967,5.424302681854793,0.47356318415667,5.955008295604161,2.1900986051959683,4.385476589202881,6.1660614013671875
34,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9081590720585417,0.3051257382193679,4.403294878346579,1.5834584271255812,5.361009934970311,0.4530646315061604,5.973747268744877,2.0956533728053937,4.936624050140381,6.61007833480835
28,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9060960599354337,0.2880846301913844,4.418806498391287,1.459982806828508,5.357256208147321,0.4316129178182405,6.001843588692801,2.0058402070132293,4.3740057945251465,6.0158562660217285
