model_number,model,mean_mae_train,sd_mae_train,mean_mae_val,sd_mae_val,mean_rmse_train,sd_rmse_train,mean_rmse_val,sd_rmse_val,MAE_test,RMSE_test
37,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.882849431037903,0.3038456762033776,4.339704740047455,1.508522406561844,5.419985749040332,0.4697150197863937,5.905637320450374,2.088511289904335,4.83115816116333,6.513704776763916
21,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.865439176559448,0.3136048752405253,4.346821635110038,1.5373716252427634,5.401340932505471,0.4781806843727416,5.927587693078177,2.1369196295989634,4.402953624725342,6.051041126251221
1,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",3.865893057414464,0.3136832918983446,4.347540550572532,1.5357350041161226,5.401352982861655,0.478162194795001,5.927649280003139,2.134574550565835,4.443406581878662,6.086175441741943
34,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.899342284883772,0.2954429815238101,4.35626916374479,1.6089822392716449,5.339299614088876,0.4507572941653306,5.936200509752546,2.19377374798377,4.289379596710205,5.7335028648376465
62,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.879127211230142,0.3128893634259773,4.384200460570199,1.4687677880054744,5.319693102155413,0.4688028488468874,5.961416184902191,2.0178679457525037,4.586269855499268,6.276973247528076
