ds,y
2024-04-20 12:00:00,12.075273149167245
2024-04-20 13:00:00,10.130463223286482
2024-04-20 14:00:00,15.886757485879103
2024-04-20 15:00:00,20.537594950471632
2024-04-20 16:00:00,16.87759166515845
2024-04-20 17:00:00,16.12375155854466
2024-04-20 18:00:00,16.13163363009744
2024-04-20 19:00:00,14.126393345674538
2024-04-20 20:00:00,13.887842892442013
2024-04-20 21:00:00,13.477992954523113
2024-04-20 22:00:00,7.266691009314916
2024-04-20 23:00:00,4.761085288160302
2024-04-21 00:00:00,6.333613828145041
2024-04-21 01:00:00,-1.8403306667821497
2024-04-21 02:00:00,-1.8480304737001807
2024-04-21 03:00:00,-1.8514216268919148
2024-04-21 04:00:00,-1.8499903988902497
2024-04-21 05:00:00,-1.0012773650293343
2024-04-21 06:00:00,0.9746353446767555
2024-04-21 07:00:00,17.75429541995713
2024-04-21 08:00:00,20.444825483133073
2024-04-21 09:00:00,10.232007033044386
2024-04-21 10:00:00,4.734854352724307
2024-04-21 11:00:00,8.756066664003745
2024-04-21 12:00:00,11.529797833874797
2024-04-21 13:00:00,9.51333092146729
2024-04-21 14:00:00,14.506145164672988
2024-04-21 15:00:00,19.707044309602217
2024-04-21 16:00:00,16.03407409766307
2024-04-21 17:00:00,16.321361365711375
2024-04-21 18:00:00,16.00060973734121
2024-04-21 19:00:00,13.78503323579619
2024-04-21 20:00:00,13.713755057863183
2024-04-21 21:00:00,13.87145019389282
2024-04-21 22:00:00,7.279867894232685
2024-04-21 23:00:00,4.680891860779943
