ds,y
2024-04-20 12:00:00,27.57137680053711
2024-04-20 13:00:00,31.67551612854004
2024-04-20 14:00:00,36.381351470947266
2024-04-20 15:00:00,40.85035705566406
2024-04-20 16:00:00,41.97513961791992
2024-04-20 17:00:00,39.14229965209961
2024-04-20 18:00:00,34.989662170410156
2024-04-20 19:00:00,31.809154510498047
2024-04-20 20:00:00,29.582881927490234
2024-04-20 21:00:00,27.816104888916016
2024-04-20 22:00:00,24.927871704101562
2024-04-20 23:00:00,19.557071685791016
2024-04-21 00:00:00,11.280797004699707
2024-04-21 01:00:00,3.431265115737915
2024-04-21 02:00:00,-0.5232760906219482
2024-04-21 03:00:00,-1.0588213205337524
2024-04-21 04:00:00,0.035152822732925415
2024-04-21 05:00:00,3.176797866821289
2024-04-21 06:00:00,8.272223472595215
2024-04-21 07:00:00,12.564152717590332
2024-04-21 08:00:00,13.432504653930664
2024-04-21 09:00:00,12.904083251953125
2024-04-21 10:00:00,15.262181282043457
2024-04-21 11:00:00,20.479007720947266
2024-04-21 12:00:00,25.774620056152344
2024-04-21 13:00:00,29.88926124572754
2024-04-21 14:00:00,34.68852996826172
2024-04-21 15:00:00,39.232330322265625
2024-04-21 16:00:00,40.400970458984375
2024-04-21 17:00:00,37.54826736450195
2024-04-21 18:00:00,33.57828140258789
2024-04-21 19:00:00,30.497390747070312
2024-04-21 20:00:00,28.383533477783203
2024-04-21 21:00:00,26.621688842773438
2024-04-21 22:00:00,23.91314697265625
2024-04-21 23:00:00,18.537124633789062
