ds,y
2024-04-20 12:00:00,27.621763103266595
2024-04-20 13:00:00,30.304932638431463
2024-04-20 14:00:00,39.95512663389706
2024-04-20 15:00:00,38.70136585055145
2024-04-20 16:00:00,43.804037645378195
2024-04-20 17:00:00,44.35646587921555
2024-04-20 18:00:00,44.6275606260112
2024-04-20 19:00:00,34.18014789285837
2024-04-20 20:00:00,36.92134546046621
2024-04-20 21:00:00,37.58490080481276
2024-04-20 22:00:00,25.246728194663675
2024-04-20 23:00:00,16.222254246789348
2024-04-21 00:00:00,27.483416522691815
2024-04-21 01:00:00,-0.6136125794677385
2024-04-21 02:00:00,-0.6168191067071377
2024-04-21 03:00:00,-0.6188607409534415
2024-04-21 04:00:00,-0.6185913230204371
2024-04-21 05:00:00,2.5272581493641315
2024-04-21 06:00:00,8.751991211056609
2024-04-21 07:00:00,19.21437380415641
2024-04-21 08:00:00,16.847686537476875
2024-04-21 09:00:00,14.606967689104847
2024-04-21 10:00:00,12.905104250520276
2024-04-21 11:00:00,21.482109294722413
2024-04-21 12:00:00,29.07654294608796
2024-04-21 13:00:00,30.283702335444065
2024-04-21 14:00:00,38.71262126116697
2024-04-21 15:00:00,39.00985130123459
2024-04-21 16:00:00,44.66499688506476
2024-04-21 17:00:00,46.36965271625837
2024-04-21 18:00:00,44.89292012388851
2024-04-21 19:00:00,34.65845552597867
2024-04-21 20:00:00,37.71863429179936
2024-04-21 21:00:00,38.698602439421734
2024-04-21 22:00:00,24.269911428006914
2024-04-21 23:00:00,16.64498648237992
