ds,y
2024-04-20 12:00:00,25.946603775024414
2024-04-20 13:00:00,29.774568557739258
2024-04-20 14:00:00,33.336402893066406
2024-04-20 15:00:00,37.84037780761719
2024-04-20 16:00:00,40.46319580078125
2024-04-20 17:00:00,38.823421478271484
2024-04-20 18:00:00,34.556610107421875
2024-04-20 19:00:00,30.97031021118164
2024-04-20 20:00:00,28.713245391845703
2024-04-20 21:00:00,26.895139694213867
2024-04-20 22:00:00,24.18546485900879
2024-04-20 23:00:00,19.60394859313965
2024-04-21 00:00:00,11.917332649230957
2024-04-21 01:00:00,3.4789607524871826
2024-04-21 02:00:00,-1.381497859954834
2024-04-21 03:00:00,-1.7791178226470947
2024-04-21 04:00:00,-0.10626581311225891
2024-04-21 05:00:00,2.4564456939697266
2024-04-21 06:00:00,6.6016998291015625
2024-04-21 07:00:00,11.24889850616455
2024-04-21 08:00:00,13.125701904296875
2024-04-21 09:00:00,12.294143676757812
2024-04-21 10:00:00,13.335700035095215
2024-04-21 11:00:00,18.234792709350586
2024-04-21 12:00:00,24.217548370361328
2024-04-21 13:00:00,28.087284088134766
2024-04-21 14:00:00,31.791522979736328
2024-04-21 15:00:00,36.38654708862305
2024-04-21 16:00:00,39.102256774902344
2024-04-21 17:00:00,37.50136184692383
2024-04-21 18:00:00,33.48103332519531
2024-04-21 19:00:00,30.05072593688965
2024-04-21 20:00:00,27.93304443359375
2024-04-21 21:00:00,26.16022300720215
2024-04-21 22:00:00,23.68125343322754
2024-04-21 23:00:00,19.124704360961914
