model_number,model,mean_mae_train,sd_mae_train,mean_mae_val,sd_mae_val,mean_rmse_train,sd_rmse_train,mean_rmse_val,sd_rmse_val
37,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.936779260635376,0.33289208050461105,4.534210784094674,2.1678761485393228,5.507366371154785,0.5148070108650192,6.13546564408711,2.6859294139644985
38,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.010964163712093,0.35870714651326524,4.961293639455523,1.8537791063878213,5.650934726851327,0.5556033956090386,6.715198021275657,2.3623730481013236
39,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.06931459903717,0.3965500536963844,4.728950469834464,2.194941177630726,5.728035959175655,0.6153093534839893,6.429882182393755,2.790652924674368
40,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.960735630989075,0.3326576917762565,4.814159144674028,1.4315141166269385,5.469041412217276,0.5022576111423952,6.554663734776633,1.9967935882868053
41,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.9891622611454554,0.3286959824857274,4.906084113461631,1.6438684253094393,5.603255023275103,0.5021525040888138,6.668483659199306,2.227729570534671
42,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.067395489556449,0.40818806971178295,4.712416861738477,2.318818545416455,5.733249012061528,0.640285762454417,6.399468735286168,2.9208306464136293
43,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.106240022182464,0.4009889929152774,5.1671946678842815,2.226009554673573,5.780581673554011,0.6202066176600527,6.9656572410038535,2.8367774306375853
44,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.042554497718811,0.37157319082114315,5.00174948658262,1.9432669255721224,5.6870279397283285,0.5698457527794647,6.753830535071237,2.413233089815627
45,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.94182311466762,0.30541090549058253,4.8835766383579795,1.6812175907691564,5.541908589431218,0.4677585973267373,6.643814175469535,2.253779477720104
46,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",3.9927753039768765,0.3632185967744636,5.010146042278834,1.9280750099893438,5.631537325041634,0.555875261135039,6.760414983545031,2.4022852439952995
47,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.126038755689349,0.41049910430395764,4.879200989859445,2.3519627685523083,5.7017211880002705,0.6106441634520636,6.591912490980966,2.9517631983547843
48,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.006499244485583,0.36492828183367426,5.010128729684013,1.9449312980996192,5.550856062344143,0.5429964927491622,6.7597776055336,2.4225751275008864
49,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.14856607232775,0.40558131434371997,4.896179599421365,2.494401500740736,5.724234461784363,0.6099682480238525,6.619452164854322,3.0546867548587726
50,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.121480451311384,0.3925240533209463,5.243026394503457,2.2888389216587237,5.701222155775342,0.5904818939321019,7.045525983401707,2.8590467690229198
51,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.122179452010563,0.39643845476599093,4.851002826009478,2.4574210109052372,5.801864334515163,0.6086361597455492,6.583894779000963,3.044372611039592
52,"{'ar_layers': [1], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",4.098829707077571,0.4103059534655338,4.758963348184313,2.1874498781769454,5.766994612557547,0.6287597016395592,6.431830329554422,2.7299564567426553
53,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 80, 'learning_rate': 0.15, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.1}",3.938679155281612,0.34169693036634247,4.870275844846453,1.8049717456130268,5.545965869086129,0.5320756954156952,6.627318785871778,2.440660627459132
54,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 80, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.013846509797233,0.32685591058262053,4.974272392477308,1.6869635419880034,5.531724873610905,0.4866189071612269,6.748430110727038,2.273841565522932
55,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.129843703338078,0.40054028276995407,4.889817386014121,2.3143191958238827,5.707085742269244,0.6019576829875234,6.600156193120139,2.91392429451978
56,"{'ar_layers': [32, 16], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.15, 'n_lags': 12, 'newer_samples_weight': 2, 'seasonality_reg': 0.1}",4.085479996885572,0.3972485643006963,4.86845281124115,2.38267307942628,5.655954987662179,0.598486305484465,6.5696828688894,2.9480562310810523
57,"{'ar_layers': [1], 'batch_size': 24, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 1, 'newer_samples_weight': 2, 'seasonality_reg': 0.5}",4.05435049704143,0.37770707833558487,5.1103153688567025,2.1099142620282874,5.606774427209582,0.5577135056957547,6.875718930789403,2.6126745955169492
58,"{'ar_layers': [32, 16], 'batch_size': 48, 'epochs': 40, 'learning_rate': 0.3, 'n_lags': 12, 'newer_samples_weight': 4, 'seasonality_reg': 0.5}",4.157130433831896,0.5671980849291269,4.799271777697972,2.2815605989387846,5.8581116267613,0.8616425988567934,6.513769580636706,2.9073630949707323
