ds,y
2024-04-20 12:00:00,20.491931915283203
2024-04-20 13:00:00,21.309799194335938
2024-04-20 14:00:00,23.436452865600586
2024-04-20 15:00:00,27.301692962646484
2024-04-20 16:00:00,29.124235153198242
2024-04-20 17:00:00,26.79575538635254
2024-04-20 18:00:00,22.983047485351562
2024-04-20 19:00:00,20.55464744567871
2024-04-20 20:00:00,18.88390350341797
2024-04-20 21:00:00,16.738975524902344
2024-04-20 22:00:00,13.718025207519531
2024-04-20 23:00:00,10.045939445495605
2024-04-21 00:00:00,4.960454940795898
2024-04-21 01:00:00,0.11642758548259735
2024-04-21 02:00:00,-1.8643453121185303
2024-04-21 03:00:00,-1.6198229789733887
2024-04-21 04:00:00,-1.0133013725280762
2024-04-21 05:00:00,1.319609522819519
2024-04-21 06:00:00,7.275350093841553
2024-04-21 07:00:00,14.303577423095703
2024-04-21 08:00:00,17.11624526977539
2024-04-21 09:00:00,15.50330924987793
2024-04-21 10:00:00,14.787740707397461
2024-04-21 11:00:00,17.036291122436523
2024-04-21 12:00:00,19.517751693725586
2024-04-21 13:00:00,20.513830184936523
2024-04-21 14:00:00,22.8780517578125
2024-04-21 15:00:00,26.955934524536133
2024-04-21 16:00:00,28.954877853393555
2024-04-21 17:00:00,26.75444221496582
2024-04-21 18:00:00,23.21980857849121
2024-04-21 19:00:00,21.002687454223633
2024-04-21 20:00:00,19.55427360534668
2024-04-21 21:00:00,17.489933013916016
2024-04-21 22:00:00,14.739202499389648
2024-04-21 23:00:00,11.081448554992676
